1649378,1,8043,0.0064,ID,1537569697,1537613279
1642911,1,8043,0.0046,ID,1537569735,1537613317
1645524,1,8043,0.0062,ID,1537569740,1537613322
1648473,1,8043,0.008,ID,1537569742,1537613324
1625084,1,8043,0.0047,ID,1537569781,1537613363
1650357,NULL,NULL,0.0055,ID,1537569548,1537613130
1646170,NULL,NULL,0.0044,ID,1537569320,1537612902
1627549,1,8043,0.0107,ID,1537569896,1537613478
1621177,NULL,NULL,0.0046,ID,1537568889,1537612470
1643920,NULL,NULL,0.0058,ID,1537569060,1537612640
1633070,1,8069,0.0066,ID,1537570229,1537613814
1214520,1,8057,0.0052,ID,1537571682,1537615277
1633308,NULL,NULL,0.0059,ID,1537570573,1537614157
1633419,NULL,NULL,0.0045,ID,1537571282,1537614870
1631761,1,8036,0.0055,ID,1537571019,1537614609
1645528,1,8000,0.005,ID,1537567724,1537611304
1622786,1,7989,0.0044,ID,1537566713,1537610296
1633034,NULL,NULL,0.0061,ID,1537566601,1537610189
1650213,1,8077,0.0077,ID,1537567871,1537611455
1626973,NULL,NULL,0.0066,ID,1537569621,1537613202
