1649378,Bekasi,200,stations,10000,1537608600
1642911,Jakarta,200,stations,10000,1537608600
1645524,Depok,200,stations,10000,1537608600
1648473,Bogor,200,stations,10000,1537608600
1625084,Tangerang,200,stations,10000,1537608600
1650357,Bandung,200,stations,NULL,1537609549
1646170,Cirebon,200,stations,NULL,1537609404
1627549,Banten,200,stations,10000,1537608600
1621177,Yogyakarta,200,stations,NULL,1537609447
1643920,Kebumen,200,stations,NULL,1537609556
1633070,Palembang,200,stations,10000,1537608600
1214520,Medan,200,stations,10000,1537606800
1633308,Aceh,200,stations,NULL,1537609560
1633419,Padang,200,stations,NULL,1537609432
1631761,Pekanbaru,200,stations,10000,1537606800
1645528,Denpasar,200,stations,10000,1537608600
1622786,Makassar,200,stations,9000,1537608600
1633034,Palu,200,stations,NULL,1537609561
1650213,Banjarmasin,200,stations,10000,1537606800
1626973,Jayapura,200,stations,NULL,1537609600
